NAME_LONG;MEAN
Aruba;35
Afghanistan;17.11506362
Angola;41.2336556
Anguilla;0
Albania;43.41224559
?àland Islands;26.24818986
Andorra;4.704545455
United Arab Emirates;3.216927923
Argentina;53.16904473
Armenia;33.90172905
American Samoa;49.93333333
French Southern and Antarctic Lands;0
Antigua and Barbuda;53.77108434
Australia;34.90663251
Austria;58.55379228
Azerbaijan;30.18609728
Burundi;35.49448596
Belgium;47.25347614
Benin;59.95363607
Burkina Faso;60.27232928
Bangladesh;63.9875054
Bulgaria;54.54578628
Bahrain;2.303167421
Bahamas;43.81715576
Bosnia and Herzegovina;48.0916132
Belarus;44.32014767
Belize;50.74839178
Bermuda;0
Bolivia;48.33440691
Brazil;36.89481484
Barbados;70.14015573
Brunei Darussalam;60.20446735
Bhutan;43.53631782
Botswana;21.95471435
Central African Republic;48.58133763
Canada;51.7388837
Switzerland;52.18766238
Chile;47.19484224
China;55.02893
C??te d'Ivoire;34.40358423
Cameroon;63.67512139
Cyprus U.N. Buffer Zone;64.62190813
Democratic Republic of the Congo;38.17751681
Republic of the Congo;41.72697352
Cook Islands;0
Colombia;49.02031714
Comoros;27.73549488
Republic of Cabo Verde;34.95329285
Costa Rica;58.08272462
Cuba;51.18629791
Cura?ºao;39.79120879
Cayman Islands;43.08661417
Northern Cyprus;58.012802
Cyprus;64.00966657
Czech Republic;52.60259024
Germany;44.0644526
Djibouti;8.236363636
Dominica;49
Denmark;29.35698851
Dominican Republic;59.23858148
Algeria;33.46725117
Ecuador;51.41674064
Egypt;23.90483664
Eritrea;48.23069015
Dhekelia;3.196056955
Spain;35.09934297
Estonia;46.27746383
Ethiopia;50.2285142
Finland;16.09966392
Fiji;57.04038435
Falkland Islands;2.166666667
France;49.11723183
Faeroe Islands;11.96899225
Federated States of Micronesia;0
Gabon;51.84358735
United Kingdom;43.23301196
Georgia;49.45295328
Guernsey;24.28673835
Ghana;47.83799385
Gibraltar;73
Guinea;45.14739413
The Gambia;34.07975407
Guinea-Bissau;52.78032517
Equatorial Guinea;67.13349435
Greece;42.04389513
Grenada;61.07692308
Guatemala;61.44224578
Guam;0
Guyana;29.63713393
Hong Kong;62.28501946
Honduras;57.17490184
Croatia;54.45980414
Haiti;54.45892407
Hungary;56.81983466
Iceland;0
Indonesia;61.44183118
Isle of Man;29.4368482
India;65.73818562
Indian Ocean Territories;0
British Indian Ocean Territory;0
Ireland;49.52397961
Iran;23.96786708
Iraq;35.53870385
Israel;59.59822354
Italy;51.96337968
Jamaica;58.36295956
Jersey;26.52054795
Jordan;41.80614172
Japan;53.94309334
Baikonur Cosmodrome;0.004360465
Kazakhstan;12.38936646
Kenya;49.3497639
Kyrgyzstan;20.15822139
Cambodia;54.44562909
Kiribati;0
Saint Kitts and Nevis;64.97841727
Republic of Korea;40.76230634
Kosovo;40.76387559
Kuwait;8.640413912
Lao PDR;47.22856497
Lebanon;43.39501282
Liberia;53.76431808
Libya;21.15497893
Saint Lucia;79.35036496
Liechtenstein;45.65354331
Sri Lanka;67.78198833
Lesotho;53.19876225
Lithuania;47.24019136
Luxembourg;51.00078616
Latvia;47.29807343
Macao;25.41758242
Saint-Martin;75.33333333
Morocco;46.78719457
Monaco;15.12658228
Moldova;69.30043484
Madagascar;49.58338506
Maldives;0
Mexico;50.37281
Marshall Islands;0
Macedonia;30.86193909
Mali;55.43291735
Malta;68.44373918
Myanmar;53.92627332
Montenegro;43.56159529
Mongolia;3.557866528
Northern Mariana Islands;0
Mozambique;49.11594325
Mauritania;34.61692568
Montserrat;41.95555556
Mauritius;60.38152025
Malawi;58.55625526
Malaysia;56.93775268
Namibia;17.22764416
New Caledonia;66.07346642
Niger;36.30812966
Norfolk Island;0
Nigeria;55.44032524
Nicaragua;66.03888364
